bridge_id,road,name,condition,length,lat,lon,avg_trucks_crossed,broken_pct,norm_traffic,norm_connectivity,criticality_score,criticality_rank,failure_rate,expected_delay,mean_delay_when_failed,mean_vehicles_delayed,norm_criticality,norm_vulnerability,priority_equal,priority_crit_heavy,priority_vuln_heavy,priority_rank,quadrant
2000912,N2,SHAHJALAL BRIDGE (2 bridges at crossing),B,298,24.88147155,91.87897155,10001.5,11.11,0.3295213431911332,0.220743095569243,0.2968878689045661,369,0.4,173223.6,433059.0,1348.5,0.2968878689045661,0.4113332028897682,0.3541105358971671,0.33122146910012673,0.3769996026942075,78,A
1000584,N1,Bridge start,B,0,22.50940275,91.70966665,16919.5,29.41,0.5574500191093715,0.5843433339956289,0.5655180135752487,85,0.5,58988.9,117977.8,4070.0,0.5655180135752487,0.14007383042463178,0.35279592199994025,0.4378847586300636,0.26770708536981686,79,A
2000879,N2,LALA BAZAR,B,12,24.8515556,91.8296104,17540.5,0.0,0.5779102254905837,0.0,0.4045371578434085,215,0.3,126074.1,420247.0,3413.3,0.4045371578434085,0.2993729685472703,0.3519550631953394,0.37298790105456703,0.33092222533611176,80,A
1000564,N1,Bridge start,B,0,22.55023615,91.690333,16920.7,29.41,0.5574895557400599,0.5843433339956289,0.5655456892167305,83,0.4,54743.6,136859.0,3777.0,0.5655456892167305,0.12999302823469963,0.34776935872571507,0.43487989092212126,0.2606588265293089,81,A
1000427,N1,MADDAM SONAPAR(1) BOX CULVERT,A,2,22.868416,91.5431663,16923.7,29.41,0.5575883973167807,0.5843433339956289,0.5656148783204351,60,0.3,51837.1,172790.33333333334,3579.5,0.5656148783204351,0.12309131302846266,0.3443530956744489,0.43285780873284335,0.25584838261605436,82,A
2000396,N2,NARAONPUR CULVERT,A,8,24.1655278,91.3490274,29374.6,0.0,0.9678105931812492,0.0,0.6774674152268743,54,0.1,4638.0,46380.0,319.6,0.6774674152268743,0.011013299544650641,0.3442403573857625,0.47753118052220717,0.2109495342493177,83,B
1000642,N1,Bridge start,B,0,22.37634854468085,91.77047963315604,16918.5,29.41,0.5574170719171313,0.5843433339956289,0.5654949505406806,88,0.3,50272.4,167574.66666666666,3468.3,0.5654949505406806,0.11937580854430681,0.3424353795424937,0.4316592079417684,0.2532115511432189,84,A
1000576,N1,Bridge start,B,0,22.51636115,91.70666665,16920.8,29.41,0.5574928504592839,0.5843433339956289,0.5655479955201874,81,0.3,49696.6,165655.33333333334,3418.7,0.5655479955201874,0.11800852569010027,0.3417782606051438,0.43128615457116126,0.2522703666391264,85,A
2000716,N2,Dhaka Katpass Bridge (2 bridges at crossing),A,22,24.5628333,91.60275,20632.5,0.0,0.6797829438975211,0.0,0.4758480607282647,149,0.2,87115.6,435578.0,2350.2,0.4758480607282647,0.20686291457782827,0.34135548765304646,0.3951525168831337,0.2875584584229592,86,A
1000606,N1,Bridge start,B,0,22.4587361,91.730416,16918.7,29.41,0.5574236613555793,0.5843433339956289,0.5654995631475941,86,0.3,48448.5,161495.0,3342.7,0.5654995631475941,0.11504481306360644,0.3402721881056003,0.4303631381223978,0.2501812380888027,87,A
2000905,N2,SYHAT RAIL LINE OVER BRIDGE (2 bridges at crossing),A,21,24.8772216,91.87362435,17547.8,0.0,0.5781507399939377,0.0,0.4047055179957564,206,0.4,116067.6,290169.0,3136.1,0.4047055179957564,0.2756117391609946,0.3401586285783755,0.3659773843453278,0.3143398728114231,88,A
2000178,N2,SHIBPUR RCC GIDER BRIDGE (2 bridges at crossing),A,39,24.0485413,90.8642639,20736.5,0.0,0.68320945189051,0.0,0.4782466163233569,126,0.2,84083.5,420417.5,2274.4,0.4782466163233569,0.19966295219116695,0.33895478425726194,0.3946715170836999,0.2832380514308239,89,A
1000512,N1,RONA SORA CULVERT,A,3,22.6543889,91.6381386,16921.3,29.41,0.557509324055404,0.5843433339956289,0.5655595270374714,78,0.5,47038.8,94077.6,3244.8,0.5655595270374714,0.11169736839605707,0.3386284477167642,0.42940087944504707,0.24785601598848134,90,A
1000474,N1,VARTAKA BOX CULVERT,A,13,22.752569450000003,91.58941635,16923.3,29.41,0.5575752184398846,0.5843433339956289,0.5656056531066078,63,0.4,42430.2,106075.5,1146.3,0.5656056531066078,0.10075388148758854,0.3331797672970982,0.42615012162090204,0.24020941297329432,91,A
2000139,N2,Simbi Bridge (2 bridges at crossing),A,96,23.9939441,90.75952775,20751.1,0.0,0.683690480897218,0.0,0.4785833366280525,123,0.1,78835.8,788358.0,1178.9,0.4785833366280525,0.18720187154854875,0.3328926040883006,0.39116889710420133,0.27461631107239987,92,A
