road,id,model_type,name,lat,lon,length,condition,lrp,small_truck,medium_truck,heavy_truck,aadt
N1,1000178,link,link 152,23.4986386,90.9651111,1120,,LRP066,928.0,4941.0,348.0,11681.0
N1,1000179,link,link 153,23.4980552,90.9660278,114,,LRP066a,928.0,4941.0,348.0,11681.0
N1,1000180,link,link 154,23.4972774,90.9674716,171,,LRP067,680.0,5253.0,308.0,14002.0
N1,1000181,link,link 155,23.4942219,90.9765549,987,,LRP068,680.0,5253.0,308.0,14002.0
N1,1000182,link,link 156,23.4951386,90.9829993,665,,LRP068a,680.0,5253.0,308.0,14002.0
N1,1000183,link,link 157,23.4942497,90.985833,305,,LRP069,680.0,5253.0,308.0,14002.0
N1,1000184,link,link 158,23.4911386,90.9950274,999,,LRP070,680.0,5253.0,308.0,14002.0
N1,1000185,link,link 159,23.4894441,91.0033056,865,,LRP070a,680.0,5253.0,308.0,14002.0
N1,1000186,link,link 160,23.4893886,91.0034722,18,,LRP070b,680.0,5253.0,308.0,14002.0
N1,1000187,link,link 161,23.4896108,91.0043056,89,,LRP071,680.0,5253.0,308.0,14002.0
N1,1000188,link,link 162,23.4893052,91.0112778,712,,LRP072,680.0,5253.0,308.0,14002.0
N1,1000189,link,link 163,23.4890552,91.0120278,81,,LRP072a,680.0,5253.0,308.0,14002.0
N1,1000190,bridge,Bridge start,23.48899965,91.0121389,0,B,LRP072a,680.0,5253.0,308.0,14002.0
N1,1000191,link,link 164,23.4889441,91.01225,0,,LRP072b,680.0,5253.0,308.0,14002.0
N1,1000192,link,link 165,23.488333,91.0140833,199,,LRP073,680.0,5253.0,308.0,14002.0
N1,1000193,link,link 166,23.4846386,91.0229438,993,,LRP074,680.0,5253.0,308.0,14002.0
N1,1000194,link,link 167,23.4827771,91.0321382,960,,LRP075,680.0,5253.0,308.0,14002.0
N1,1000195,link,link 168,23.481166,91.0404441,866,,LRP075a,680.0,5253.0,308.0,14002.0
N1,1000196,link,link 169,23.4814716,91.0419719,159,,LRP076,680.0,5253.0,308.0,14002.0
N1,1000197,link,link 170,23.4820827,91.0504167,864,,LRP076a,680.0,5253.0,308.0,14002.0
N1,1000198,link,link 171,23.4821382,91.0516944,130,,LRP077,680.0,5253.0,308.0,14002.0
N1,1000199,link,link 172,23.4815271,91.0590278,751,,LRP077a,680.0,5253.0,308.0,14002.0
N1,1000200,link,link 173,23.4815549,91.0613611,238,,LRP078,680.0,5253.0,308.0,14002.0
N1,1000201,link,link 174,23.4801104,91.0706382,960,,LRP079,680.0,5253.0,308.0,14002.0
N1,1000202,link,link 175,23.4770827,91.0789993,917,,LRP079a,680.0,5253.0,308.0,14002.0
N1,1000203,link,link 176,23.4770271,91.0794716,49,,LRP080,680.0,5253.0,308.0,14002.0
N1,1000204,link,link 177,23.4781938,91.0889997,980,,LRP081,680.0,5253.0,308.0,14002.0
N1,1000205,link,link 178,23.4775549,91.0986663,988,,LRP082,680.0,5253.0,308.0,14002.0
N1,1000206,link,link 179,23.4778604,91.1036111,505,,LRP082a,680.0,5253.0,308.0,14002.0
N1,1000207,link,link 180,23.4779993,91.1055278,196,,LRP083,680.0,5253.0,308.0,14002.0
N1,1000208,link,link 181,23.4789438,91.1177216,1248,,LRP083a,680.0,5253.0,308.0,14002.0
N1,1000209,link,link 182,23.4789716,91.1179993,28,,LRP084,680.0,5253.0,308.0,14002.0
N1,1000210,intersection,Road to Brahmanbaria(N102),23.4789716,91.118166,17,,LRP084a,680.0,5253.0,308.0,14002.0
N1,1000211,link,link 183,23.4793327,91.1234716,543,,LRP084b,680.0,5253.0,308.0,14002.0
N1,1000212,bridge,TIPRA BAZAR BOX CULVERT,23.4793327,91.1234716,1,A,LRP084b,680.0,5253.0,308.0,14002.0
N1,1000213,link,link 184,23.4800827,91.1276382,433,,LRP085,680.0,5253.0,308.0,14002.0
N1,1000214,link,link 185,23.4767216,91.1364441,973,,LRP086,680.0,5253.0,308.0,14002.0
N1,1000215,link,link 186,23.4682216,91.1394441,993,,LRP087,680.0,5253.0,308.0,14002.0
N1,1000216,link,link 187,23.4595833,91.1421386,999,,LRP088,680.0,5253.0,308.0,14002.0
N1,1000217,link,link 188,23.459,91.142333,68,,LRP088a,680.0,5253.0,308.0,14002.0
N1,1000218,link,link 189,23.4513056,91.1460552,936,,LRP089,680.0,5253.0,308.0,14002.0
N1,1000219,link,link 190,23.448833,91.1471386,296,,LRP089a,680.0,5253.0,308.0,14002.0
N1,1000220,bridge,Bridge start,23.4487358,91.14719415,0,B,LRP089a,680.0,5253.0,308.0,14002.0
N1,1000221,link,link 191,23.4486386,91.1472497,0,,LRP089b,680.0,5253.0,308.0,14002.0
N1,1000222,link,link 192,23.4469441,91.1481386,209,,LRP089c,680.0,5253.0,308.0,14002.0
N1,1000223,link,link 193,23.4425274,91.1497774,519,,LRP090,680.0,5253.0,308.0,14002.0
N1,1000224,link,link 194,23.4373886,91.1521944,622,,LRP091,770.0,5781.0,294.0,12042.0
N1,1000225,link,link 195,23.4288882,91.1553889,1000,,LRP092,770.0,5781.0,294.0,12042.0
N1,1000226,link,link 196,23.4236938,91.1626944,943,,LRP093,770.0,5781.0,294.0,12042.0
N1,1000227,link,link 197,23.4235827,91.1629722,31,,LRP093a,770.0,5781.0,294.0,12042.0
N1,1000228,bridge,Bridge start,23.42349935,91.163125,0,B,LRP093a,770.0,5781.0,294.0,12042.0
N1,1000229,link,link 198,23.423416,91.1632778,0,,LRP093b,770.0,5781.0,294.0,12042.0
N1,1000230,link,link 199,23.4213604,91.167666,503,,LRP093c,770.0,5781.0,294.0,12042.0
N1,1000231,link,link 200,23.4195271,91.171416,434,,LRP094,770.0,5781.0,294.0,12042.0
N1,1000232,link,link 201,23.4191382,91.1721938,90,,LRP094a,770.0,5781.0,294.0,12042.0
N1,1000233,link,link 202,23.4149444,91.1801382,935,,LRP095,770.0,5781.0,294.0,12042.0
N1,1000234,link,link 203,23.4131111,91.1846663,505,,LRP095a,770.0,5781.0,294.0,12042.0
N1,1000235,bridge,Bridge start,23.41308335,91.1847913,0,B,LRP095a,770.0,5781.0,294.0,12042.0
N1,1000236,link,link 204,23.4130556,91.1849163,0,,LRP095b,770.0,5781.0,294.0,12042.0
N1,1000237,link,link 205,23.4125,91.1893886,461,,LRP096,770.0,5781.0,294.0,12042.0
N1,1000238,link,link 206,23.4113056,91.1988886,978,,LRP097,770.0,5781.0,294.0,12042.0
N1,1000239,link,link 207,23.4100833,91.2087778,1018,,LRP098,770.0,5781.0,294.0,12042.0
N1,1000240,link,link 208,23.4100278,91.2090833,32,,LRP098a,770.0,5781.0,294.0,12042.0
N1,1000241,link,link 209,23.4048056,91.2165278,956,,LRP099,770.0,5781.0,294.0,12042.0
N1,1000242,link,link 210,23.40375,91.2176382,163,,LRP099a,770.0,5781.0,294.0,12042.0
N1,1000243,bridge,Bridge start,23.4036528,91.21772155,0,B,LRP099a,770.0,5781.0,294.0,12042.0
N1,1000244,link,link 211,23.4035556,91.2178049,0,,LRP099b,770.0,5781.0,294.0,12042.0
N1,1000245,link,link 212,23.398213447804338,91.22288776581436,789,,LRP100,770.0,5781.0,294.0,12042.0
N1,1000246,link,link 213,23.3915274,91.2292493,987,,LRP101,770.0,5781.0,294.0,12042.0
N1,1000247,link,link 214,23.3914441,91.2293049,11,,LRP101a,770.0,5781.0,294.0,12042.0
N1,1000248,link,link 215,23.385083,91.2345552,887,,LRP101b,770.0,5781.0,294.0,12042.0
N1,1000249,link,link 216,23.3849719,91.2346108,14,,LRP101c,770.0,5781.0,294.0,12042.0
N1,1000250,link,link 217,23.3843886,91.2351108,83,,LRP102,770.0,5781.0,294.0,12042.0
N1,1000251,link,link 218,23.3779716,91.2403608,892,,LRP102a,770.0,5781.0,294.0,12042.0
N1,1000252,bridge,Bridge start,23.37786045,91.2404441,0,B,LRP102a,770.0,5781.0,294.0,12042.0
N1,1000253,link,link 219,23.3777493,91.2405274,0,,LRP102b,770.0,5781.0,294.0,12042.0
N1,1000254,link,link 220,23.377166,91.2409163,76,,LRP103,770.0,5781.0,294.0,12042.0
N1,1000255,link,link 221,23.3695827,91.2462774,1005,,LRP104,770.0,5781.0,294.0,12042.0
