bridge_id,name,road,condition,length,broken_down,total_delay_min,vehicles_delayed,replication,seed
1001502,Ladapara Bridge (2 bridges at crossing),N1,A,37,False,0,0,1,1234567
1001508,MOSINNI RCC GIDER BRIDGE (2 bridges at crossing),N1,B,9,False,0,0,1,1234567
1001511,NOYA PARA CULVERT,N1,A,1,False,0,0,1,1234567
1001513,Noya Para Bridge (2 bridges at crossing),N1,A,9,False,0,0,1,1234567
1001524,DONDO MIA BOX CULVERT,N1,A,2,False,0,0,1,1234567
1001527,DOMMO MIA BOX CULVERT,N1,A,1,False,0,0,1,1234567
1001531,DONDO MIA CHAK POST BRIDGE (2 bridges at crossing),N1,B,51,False,0,0,1,1234567
1001539,DONDOMIA,N1,A,3,False,0,0,1,1234567
1001543,DONMIA,N1,D,3,False,0,0,1,1234567
1001546,KARUNTON BOX CULVERT,N1,A,1,False,0,0,1,1234567
1001549,KARUNTON BOX CULVERT,N1,A,1,False,0,0,1,1234567
1001552,Karumtoli choto(1) Bridge (2 bridges at crossing),N1,A,6,False,0,0,1,1234567
1001554,KAKUM TOLI CHACK BOX CULVERT,N1,B,1,False,0,0,1,1234567
1001559,Karumtoli(1) Bridge (2 bridges at crossing),N1,A,34,False,0,0,1,1234567
1001562,BAROY TOLI RCC GIDER BRIDGE (2 bridges at crossing),N1,A,30,False,0,0,1,1234567
1001566,BORYTOLI SLAB CULVERT,N1,A,3,False,0,0,1,1234567
1001569,Gilatoli (1) Bridge (2 bridges at crossing),N1,A,18,False,0,0,1,1234567
1001571,Baraytoli (3) Bridge (2 bridges at crossing),N1,A,6,False,0,0,1,1234567
1001574,Bridge start,N1,B,0,False,0,0,1,1234567
1001578,Bridge start,N1,B,0,False,0,0,1,1234567
1001584,Naitom Para (2) Bridge (2 bridges at crossing),N1,A,15,False,0,0,1,1234567
1001588,Naitong Para (3) Bridge (2 bridges at crossing),N1,A,9,False,0,0,1,1234567
1001590,Naitong Para (3) Bridge (2 bridges at crossing),N1,A,9,False,0,0,1,1234567
1001592,Naitong Para (3) Bridge (2 bridges at crossing),N1,A,9,False,0,0,1,1234567
1001598,Naitom Para(4) Bridge (2 bridges at crossing),N1,A,9,False,0,0,1,1234567
1001602,Bridge start,N1,B,0,False,0,0,1,1234567
1001609,Bridge start,N1,B,0,False,0,0,1,1234567
1001614,Bridge start,N1,B,0,False,0,0,1,1234567
2000004,JATRAMURA BRIDGE (2 bridges at crossing),N2,B,36,False,0,0,1,1234567
2000021,GOLA GANDE BRIDGE (2 bridges at crossing),N2,B,18,False,0,0,1,1234567
2000025,SHAWGHAT BOX CULVERT,N2,A,4,False,0,0,1,1234567
2000029,ADURI BOX CULVERT,N2,B,5,False,0,0,1,1234567
2000032,ADURI BOX CULVERT,N2,B,4,False,0,0,1,1234567
2000035,BANTI BOX CULVERT,N2,A,3,False,0,0,1,1234567
